,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
0,bitcoin,1,BTC,Bitcoin,19422250.0,21000000.0,585043957450.3097,6245800640.520003,30122.357474047014,-3.199190447794776,30345.19703861948,https://blockchain.info/
1,ethereum,2,ETH,Ethereum,120210439.53162764,,223720129087.02646,3334277341.1077743,1861.0707186389182,-4.149301757414224,1877.5272367082698,https://etherscan.io/
2,tether,3,USDT,Tether,83357268873.15366,,83391615962.09071,11373435617.834822,1.0004120467165176,0.0558124208224239,1.0002307139944768,https://www.omniexplorer.info/asset/31
3,binance-coin,4,BNB,BNB,166801148.0,166801148.0,38947917065.21675,245542982.87502122,233.49909477371673,-3.340138411679555,236.18660026195607,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
4,usd-coin,5,USDC,USD Coin,27526590313.868435,,27536617411.373516,928275758.4843901,1.0003642695078012,0.0291345153580123,1.0005884996562946,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
5,xrp,6,XRP,XRP,45404028640.0,100000000000.0,21087106888.709927,381095548.89119744,0.4644325078707361,-3.157162798244036,0.46867417366925,https://xrpcharts.ripple.com/#/graph/
6,cardano,7,ADA,Cardano,34957612524.907,45000000000.0,9837984454.761702,98280295.9173363,0.2814260970411587,-3.029575125199513,0.2826452654252608,https://cardanoexplorer.com/
7,dogecoin,8,DOGE,Dogecoin,140072216383.70526,,9151305813.280363,117131598.56149916,0.0653327694066883,-3.691513979138788,0.0658380856315244,http://dogechain.info/chain/Dogecoin
8,solana,9,SOL,Solana,401965399.6845039,,7982237034.945181,298401639.947399,19.858020220671502,-1.2143097697352605,20.045440912983796,https://explorer.solana.com/
9,litecoin,10,LTC,Litecoin,73307201.72743528,84000000.0,7040877402.752037,427591083.8572641,96.04618968994124,-7.893197359977066,98.44847143245416,http://explorer.litecoin.net/chain/Litecoin
10,tron,11,TRX,TRON,89863678441.01433,,7009606519.695203,59379821.97100741,0.0780026662751875,-0.5035484792381608,0.077806181125284,https://tronscan.org/#/
11,polkadot,12,DOT,Polkadot,1250551896.35816,,6389574374.982596,54177237.27894792,5.109403610989857,-3.366997984444554,5.120420534709649,https://polkascan.io/polkadot
